Vardas             Pavarde          ND1  ND2  ND3  ND4  ND5  Egz. 
Vardas2535         Pavarde2535      6    6    10   7    2    3    
Vardas2536         Pavarde2536      0    10   9    1    2    5    
Vardas2537         Pavarde2537      6    10   0    7    5    8    
Vardas2538         Pavarde2538      5    10   4    0    9    9    
Vardas2539         Pavarde2539      7    0    10   4    6    7    
Vardas2540         Pavarde2540      10   2    10   10   5    0    
Vardas2541         Pavarde2541      2    10   5    7    4    10   
Vardas2542         Pavarde2542      5    2    7    9    9    2    
Vardas2543         Pavarde2543      6    6    7    9    1    5    
Vardas2544         Pavarde2544      4    10   5    5    3    9    
Vardas2545         Pavarde2545      7    3    9    2    9    1    
Vardas2546         Pavarde2546      2    5    10   3    10   10   
Vardas2547         Pavarde2547      2    2    9    0    3    5    
Vardas2548         Pavarde2548      6    0    1    10   0    1    
Vardas2549         Pavarde2549      7    8    9    10   5    7    
Vardas2550         Pavarde2550      1    6    4    1    0    5    
Vardas2551         Pavarde2551      6    6    0    6    6    1    
Vardas2552         Pavarde2552      1    3    8    1    10   1    
Vardas2553         Pavarde2553      4    2    2    4    3    6    
Vardas2554         Pavarde2554      3    6    0    4    1    4    
Vardas2555         Pavarde2555      7    4    9    8    8    8    
Vardas2556         Pavarde2556      9    7    6    0    1    6    
Vardas2557         Pavarde2557      3    10   5    4    4    0    
Vardas2558         Pavarde2558      3    5    1    9    8    8    
Vardas2559         Pavarde2559      6    4    7    2    10   6    
Vardas2560         Pavarde2560      6    2    9    8    4    6    
Vardas2561         Pavarde2561      3    4    2    9    2    4    
Vardas2562         Pavarde2562      9    6    10   5    10   5    
Vardas2563         Pavarde2563      5    6    3    4    4    10   
Vardas2564         Pavarde2564      5    10   1    2    3    2    
Vardas2565         Pavarde2565      2    10   6    8    1    7    
Vardas2566         Pavarde2566      1    9    9    9    8    8    
Vardas2567         Pavarde2567      7    7    2    7    4    4    
Vardas2568         Pavarde2568      6    8    7    3    8    6    
Vardas2569         Pavarde2569      4    6    10   10   2    0    
Vardas2570         Pavarde2570      0    4    3    0    0    8    
Vardas2571         Pavarde2571      2    5    6    2    1    3    
Vardas2572         Pavarde2572      0    0    0    9    7    8    
Vardas2573         Pavarde2573      0    9    8    3    0    10   
Vardas2574         Pavarde2574      5    7    7    3    10   6    
Vardas2575         Pavarde2575      1    9    1    8    3    6    
Vardas2576         Pavarde2576      8    10   0    2    7    7    
Vardas2577         Pavarde2577      9    10   8    10   8    0    
Vardas2578         Pavarde2578      6    3    3    6    1    1    
Vardas2579         Pavarde2579      0    1    9    2    6    6    
Vardas2580         Pavarde2580      4    4    10   10   0    6    
Vardas2581         Pavarde2581      5    4    8    9    4    1    
Vardas2582         Pavarde2582      3    3    6    3    2    10   
Vardas2583         Pavarde2583      9    5    1    1    4    9    
Vardas2584         Pavarde2584      1    8    9    10   10   7    
Vardas2585         Pavarde2585      7    1    4    9    10   7    
Vardas2586         Pavarde2586      5    8    9    2    7    10   
Vardas2587         Pavarde2587      0    0    10   6    0    4    
Vardas2588         Pavarde2588      5    10   6    5    1    4    
Vardas2589         Pavarde2589      0    7    1    0    0    1    
Vardas2590         Pavarde2590      6    1    10   3    5    4    
Vardas2591         Pavarde2591      1    2    3    0    6    2    
Vardas2592         Pavarde2592      0    4    7    10   7    6    
Vardas2593         Pavarde2593      7    1    3    1    10   5    
Vardas2594         Pavarde2594      9    5    1    6    10   0    
Vardas2595         Pavarde2595      5    9    4    7    1    3    
Vardas2596         Pavarde2596      3    8    8    1    8    1    
Vardas2597         Pavarde2597      5    3    4    5    1    10   
Vardas2598         Pavarde2598      4    4    2    7    3    2    
Vardas2599         Pavarde2599      0    0    8    3    4    5    
Vardas2600         Pavarde2600      2    3    5    5    7    3    
Vardas2601         Pavarde2601      1    9    5    3    8    10   
Vardas2602         Pavarde2602      10   6    10   6    10   8    
Vardas2603         Pavarde2603      9    4    10   7    10   1    
Vardas2604         Pavarde2604      5    9    10   7    8    10   
Vardas2605         Pavarde2605      6    4    5    8    4    9    
Vardas2606         Pavarde2606      4    7    6    10   3    7    
Vardas2607         Pavarde2607      2    4    8    6    9    6    
Vardas2608         Pavarde2608      10   5    9    1    6    1    
Vardas2609         Pavarde2609      6    0    9    4    9    1    
Vardas2610         Pavarde2610      4    0    6    3    7    7    
Vardas2611         Pavarde2611      0    7    2    6    4    6    
Vardas2612         Pavarde2612      10   8    1    0    5    4    
Vardas2613         Pavarde2613      0    4    10   10   4    2    
Vardas2614         Pavarde2614      3    3    5    3    10   5    
Vardas2615         Pavarde2615      4    1    3    1    10   4    
Vardas2616         Pavarde2616      8    4    9    0    6    1    
Vardas2617         Pavarde2617      0    0    0    7    5    10   
Vardas2618         Pavarde2618      6    1    5    6    4    9    
Vardas2619         Pavarde2619      4    6    0    7    1    8    
Vardas2620         Pavarde2620      4    10   8    6    2    9    
Vardas2621         Pavarde2621      3    0    1    10   7    9    
Vardas2622         Pavarde2622      9    8    4    4    1    1    
Vardas2623         Pavarde2623      2    9    0    4    3    7    
Vardas2624         Pavarde2624      3    2    1    2    2    3    
Vardas2625         Pavarde2625      9    9    9    2    9    5    
Vardas2626         Pavarde2626      4    3    5    2    2    7    
Vardas2627         Pavarde2627      6    5    7    7    9    4    
Vardas2628         Pavarde2628      1    0    1    9    5    1    
Vardas2629         Pavarde2629      1    2    8    6    2    4    
Vardas2630         Pavarde2630      1    2    1    2    5    7    
Vardas2631         Pavarde2631      6    10   10   8    9    7    
Vardas2632         Pavarde2632      8    10   5    7    7    7    
Vardas2633         Pavarde2633      2    0    3    7    3    1    
Vardas2634         Pavarde2634      2    10   9    10   1    6    
Vardas2635         Pavarde2635      1    2    8    4    0    6    
Vardas2636         Pavarde2636      7    5    7    0    4    2    
Vardas2637         Pavarde2637      3    7    7    7    7    4    
Vardas2638         Pavarde2638      4    7    10   0    0    8    
Vardas2639         Pavarde2639      4    7    4    10   2    10   
Vardas2640         Pavarde2640      0    4    5    2    7    5    
Vardas2641         Pavarde2641      3    10   7    10   0    1    
Vardas2642         Pavarde2642      7    3    0    1    2    3    
Vardas2643         Pavarde2643      9    4    5    4    7    0    
Vardas2644         Pavarde2644      8    2    4    1    10   6    
Vardas2645         Pavarde2645      4    7    1    3    6    8    
Vardas2646         Pavarde2646      3    2    7    9    2    6    
Vardas2647         Pavarde2647      6    5    4    9    9    5    
Vardas2648         Pavarde2648      7    4    0    7    10   1    
Vardas2649         Pavarde2649      7    10   5    4    10   6    
Vardas2650         Pavarde2650      3    10   6    4    3    2    
Vardas2651         Pavarde2651      9    5    9    9    9    9    
Vardas2652         Pavarde2652      3    4    9    5    0    2    
Vardas2653         Pavarde2653      0    8    7    9    0    5    
Vardas2654         Pavarde2654      2    4    8    3    1    10   
Vardas2655         Pavarde2655      9    8    9    9    9    2    
Vardas2656         Pavarde2656      0    3    7    10   10   6    
Vardas2657         Pavarde2657      8    6    1    10   9    9    
Vardas2658         Pavarde2658      8    10   2    7    10   10   
Vardas2659         Pavarde2659      8    9    5    4    1    2    
Vardas2660         Pavarde2660      10   8    8    0    5    1    
Vardas2661         Pavarde2661      8    2    6    10   3    9    
Vardas2662         Pavarde2662      3    7    8    8    10   7    
Vardas2663         Pavarde2663      1    1    4    10   6    4    
Vardas2664         Pavarde2664      7    4    10   0    6    0    
Vardas2665         Pavarde2665      4    6    5    5    6    2    
Vardas2666         Pavarde2666      0    4    0    9    6    0    
Vardas2667         Pavarde2667      1    1    1    1    8    1    
Vardas2668         Pavarde2668      4    7    3    10   5    6    
Vardas2669         Pavarde2669      8    7    0    2    6    6    
Vardas2670         Pavarde2670      2    2    7    7    3    5    
Vardas2671         Pavarde2671      8    0    9    2    3    3    
Vardas2672         Pavarde2672      10   6    5    6    5    6    
Vardas2673         Pavarde2673      3    6    2    3    0    3    
Vardas2674         Pavarde2674      3    6    10   0    5    6    
Vardas2675         Pavarde2675      2    8    7    7    7    3    
Vardas2676         Pavarde2676      4    0    10   4    0    6    
Vardas2677         Pavarde2677      1    1    9    3    4    3    
Vardas2678         Pavarde2678      10   8    10   2    4    4    
Vardas2679         Pavarde2679      1    1    10   7    6    5    
Vardas2680         Pavarde2680      9    3    7    4    1    0    
Vardas2681         Pavarde2681      2    2    8    4    8    2    
Vardas2682         Pavarde2682      5    10   9    0    4    9    
Vardas2683         Pavarde2683      4    3    0    2    2    1    
Vardas2684         Pavarde2684      2    9    0    1    0    4    
Vardas2685         Pavarde2685      8    7    8    3    7    9    
Vardas2686         Pavarde2686      2    6    1    6    10   3    
Vardas2687         Pavarde2687      9    7    10   2    4    3    
Vardas2688         Pavarde2688      2    5    4    0    10   1    
Vardas2689         Pavarde2689      8    4    1    0    2    7    
Vardas2690         Pavarde2690      1    2    0    9    7    1    
Vardas2691         Pavarde2691      8    0    6    7    2    10   
Vardas2692         Pavarde2692      4    9    7    7    6    2    
Vardas2693         Pavarde2693      0    2    0    9    7    5    
Vardas2694         Pavarde2694      3    6    9    2    8    9    
Vardas2695         Pavarde2695      3    9    3    3    4    7    
Vardas2696         Pavarde2696      8    2    8    8    3    3    
Vardas2697         Pavarde2697      10   8    8    5    7    7    
Vardas2698         Pavarde2698      4    6    3    1    9    7    
Vardas2699         Pavarde2699      3    2    9    9    1    2    
Vardas2700         Pavarde2700      0    4    9    0    5    9    
Vardas2701         Pavarde2701      2    6    7    8    1    0    
Vardas2702         Pavarde2702      4    4    5    8    3    0    
Vardas2703         Pavarde2703      5    0    1    9    5    3    
Vardas2704         Pavarde2704      8    1    3    8    10   8    
Vardas2705         Pavarde2705      10   7    0    10   1    6    
Vardas2706         Pavarde2706      2    8    5    6    0    2    
Vardas2707         Pavarde2707      5    7    4    10   0    8    
Vardas2708         Pavarde2708      10   4    4    10   2    4    
Vardas2709         Pavarde2709      3    7    1    10   10   6    
Vardas2710         Pavarde2710      5    8    9    2    1    4    
Vardas2711         Pavarde2711      6    9    10   9    7    2    
Vardas2712         Pavarde2712      10   1    4    1    10   3    
Vardas2713         Pavarde2713      6    6    5    2    10   0    
Vardas2714         Pavarde2714      0    5    8    3    7    10   
Vardas2715         Pavarde2715      0    4    2    7    10   4    
Vardas2716         Pavarde2716      9    8    7    6    6    8    
Vardas2717         Pavarde2717      5    9    7    9    3    4    
Vardas2718         Pavarde2718      10   1    4    1    1    1    
Vardas2719         Pavarde2719      4    0    3    0    5    4    
Vardas2720         Pavarde2720      3    4    8    9    7    7    
Vardas2721         Pavarde2721      8    2    10   6    9    3    
Vardas2722         Pavarde2722      10   9    2    10   6    6    
Vardas2723         Pavarde2723      8    8    1    5    3    7    
Vardas2724         Pavarde2724      1    5    1    6    6    1    
Vardas2725         Pavarde2725      6    6    9    10   10   0    
Vardas2726         Pavarde2726      10   2    5    1    4    8    
Vardas2727         Pavarde2727      3    10   5    5    9    1    
Vardas2728         Pavarde2728      5    1    2    7    2    9    
Vardas2729         Pavarde2729      8    10   4    5    5    5    
Vardas2730         Pavarde2730      5    3    7    9    8    5    
Vardas2731         Pavarde2731      6    8    10   2    6    5    
Vardas2732         Pavarde2732      4    2    4    2    4    10   
Vardas2733         Pavarde2733      5    1    0    7    0    8    
Vardas2734         Pavarde2734      4    0    3    6    2    0    
Vardas2735         Pavarde2735      8    6    8    3    5    9    
Vardas2736         Pavarde2736      4    2    5    0    4    5    
Vardas2737         Pavarde2737      10   10   4    5    5    0    
Vardas2738         Pavarde2738      7    1    10   8    5    6    
Vardas2739         Pavarde2739      6    4    7    10   3    6    
Vardas2740         Pavarde2740      3    4    1    0    4    4    
Vardas2741         Pavarde2741      6    2    5    8    6    2    
Vardas2742         Pavarde2742      4    0    2    10   9    7    
Vardas2743         Pavarde2743      6    5    9    10   4    10   
Vardas2744         Pavarde2744      1    8    3    5    6    1    
Vardas2745         Pavarde2745      3    6    2    1    10   7    
Vardas2746         Pavarde2746      8    1    1    8    1    4    
Vardas2747         Pavarde2747      9    2    2    4    2    4    
Vardas2748         Pavarde2748      10   7    1    7    3    0    
Vardas2749         Pavarde2749      6    5    6    3    5    8    
Vardas2750         Pavarde2750      8    2    7    10   10   9    
Vardas2751         Pavarde2751      2    9    2    2    2    0    
Vardas2752         Pavarde2752      2    0    8    7    5    0    
Vardas2753         Pavarde2753      3    9    5    1    1    0    
Vardas2754         Pavarde2754      1    9    5    9    4    6    
Vardas2755         Pavarde2755      4    10   1    7    9    4    
Vardas2756         Pavarde2756      8    0    2    8    4    10   
Vardas2757         Pavarde2757      0    1    3    6    5    8    
Vardas2758         Pavarde2758      8    1    4    6    10   9    
Vardas2759         Pavarde2759      7    6    0    10   9    8    
Vardas2760         Pavarde2760      7    6    3    1    7    6    
Vardas2761         Pavarde2761      0    6    0    0    1    10   
Vardas2762         Pavarde2762      3    0    6    9    10   10   
Vardas2763         Pavarde2763      5    1    2    10   9    1    
Vardas2764         Pavarde2764      7    1    1    9    8    5    
Vardas2765         Pavarde2765      8    9    6    5    5    4    
Vardas2766         Pavarde2766      8    1    8    3    3    8    
Vardas2767         Pavarde2767      9    7    1    1    9    4    
Vardas2768         Pavarde2768      8    4    6    3    8    4    
Vardas2769         Pavarde2769      4    0    5    5    4    4    
Vardas2770         Pavarde2770      2    6    7    1    5    8    
Vardas2771         Pavarde2771      0    8    10   0    1    3    
Vardas2772         Pavarde2772      5    5    8    5    9    7    
Vardas2773         Pavarde2773      2    7    0    9    5    0    
Vardas2774         Pavarde2774      0    4    5    1    4    8    
Vardas2775         Pavarde2775      6    9    6    10   6    4    
Vardas2776         Pavarde2776      1    1    1    6    0    1    
Vardas2777         Pavarde2777      5    10   7    8    6    1    
Vardas2778         Pavarde2778      5    0    3    3    9    2    
Vardas2779         Pavarde2779      8    1    4    4    7    10   
Vardas2780         Pavarde2780      5    3    7    9    4    6    
Vardas2781         Pavarde2781      1    10   2    10   1    3    
Vardas2782         Pavarde2782      9    0    0    8    0    6    
Vardas2783         Pavarde2783      5    4    5    3    2    4    
Vardas2784         Pavarde2784      7    8    1    5    0    1    
Vardas2785         Pavarde2785      1    6    2    7    8    0    
Vardas2786         Pavarde2786      1    10   1    7    0    9    
Vardas2787         Pavarde2787      8    2    7    3    0    5    
Vardas2788         Pavarde2788      1    0    3    0    0    7    
Vardas2789         Pavarde2789      9    5    2    4    0    1    
Vardas2790         Pavarde2790      6    10   8    9    0    7    
Vardas2791         Pavarde2791      6    6    8    5    0    1    
Vardas2792         Pavarde2792      7    5    4    9    9    10   
Vardas2793         Pavarde2793      6    0    8    9    2    10   
Vardas2794         Pavarde2794      1    9    3    0    4    0    
Vardas2795         Pavarde2795      2    0    7    9    6    10   
Vardas2796         Pavarde2796      9    8    2    1    3    6    
Vardas2797         Pavarde2797      8    2    6    3    0    10   
Vardas2798         Pavarde2798      2    3    10   8    7    9    
Vardas2799         Pavarde2799      10   1    5    7    2    7    
Vardas2800         Pavarde2800      2    2    1    5    5    1    
Vardas2801         Pavarde2801      1    9    9    5    5    1    
Vardas2802         Pavarde2802      1    3    6    7    8    8    
Vardas2803         Pavarde2803      5    0    3    2    8    2    
Vardas2804         Pavarde2804      2    5    3    9    5    6    
Vardas2805         Pavarde2805      6    1    1    6    1    6    
Vardas2806         Pavarde2806      9    5    6    0    0    8    
Vardas2807         Pavarde2807      4    5    7    6    4    9    
Vardas2808         Pavarde2808      10   9    0    0    4    6    
Vardas2809         Pavarde2809      8    0    7    3    4    2    
Vardas2810         Pavarde2810      2    0    0    4    7    2    
Vardas2811         Pavarde2811      8    9    8    8    5    6    
Vardas2812         Pavarde2812      1    0    6    5    7    2    
Vardas2813         Pavarde2813      6    7    3    9    4    10   
Vardas2814         Pavarde2814      7    10   4    5    6    3    
Vardas2815         Pavarde2815      9    6    6    2    7    1    
Vardas2816         Pavarde2816      6    7    6    8    4    5    
Vardas2817         Pavarde2817      9    1    7    8    0    5    
Vardas2818         Pavarde2818      10   1    8    4    3    2    
Vardas2819         Pavarde2819      6    7    8    10   2    9    
Vardas2820         Pavarde2820      9    10   4    2    0    3    
Vardas2821         Pavarde2821      9    4    8    7    10   6    
Vardas2822         Pavarde2822      9    0    3    0    7    0    
Vardas2823         Pavarde2823      3    1    10   4    2    1    
Vardas2824         Pavarde2824      4    1    4    2    1    8    
Vardas2825         Pavarde2825      8    4    4    6    0    9    
Vardas2826         Pavarde2826      9    1    5    4    6    3    
Vardas2827         Pavarde2827      1    2    10   9    6    2    
Vardas2828         Pavarde2828      2    2    4    7    8    8    
Vardas2829         Pavarde2829      7    7    6    8    9    10   
Vardas2830         Pavarde2830      10   8    2    5    6    4    
Vardas2831         Pavarde2831      3    9    1    5    3    3    
Vardas2832         Pavarde2832      4    1    5    4    3    9    
Vardas2833         Pavarde2833      1    10   7    10   9    9    
Vardas2834         Pavarde2834      2    2    2    1    7    8    
Vardas2835         Pavarde2835      7    0    2    9    2    7    
Vardas2836         Pavarde2836      8    9    9    10   5    1    
Vardas2837         Pavarde2837      9    2    9    9    4    9    
Vardas2838         Pavarde2838      3    0    0    5    6    2    
Vardas2839         Pavarde2839      3    4    10   8    6    2    
Vardas2840         Pavarde2840      2    1    6    10   5    10   
Vardas2841         Pavarde2841      0    6    8    6    4    10   
Vardas2842         Pavarde2842      5    3    10   9    8    8    
Vardas2843         Pavarde2843      1    5    7    2    4    3    
Vardas2844         Pavarde2844      9    5    4    1    2    5    
Vardas2845         Pavarde2845      10   6    4    2    4    0    
Vardas2846         Pavarde2846      2    8    1    0    3    4    
Vardas2847         Pavarde2847      6    8    1    4    0    3    
Vardas2848         Pavarde2848      3    2    9    5    2    0    
Vardas2849         Pavarde2849      4    8    3    5    9    10   
Vardas2850         Pavarde2850      1    9    7    2    1    7    
Vardas2851         Pavarde2851      10   9    4    8    7    6    
Vardas2852         Pavarde2852      7    0    1    3    3    7    
Vardas2853         Pavarde2853      4    5    7    2    10   7    
Vardas2854         Pavarde2854      4    0    0    7    5    2    
Vardas2855         Pavarde2855      3    10   1    7    10   6    
Vardas2856         Pavarde2856      2    5    8    1    8    5    
Vardas2857         Pavarde2857      2    3    1    10   3    6    
Vardas2858         Pavarde2858      7    9    2    7    5    8    
Vardas2859         Pavarde2859      3    6    4    5    2    5    
Vardas2860         Pavarde2860      5    10   1    2    10   2    
Vardas2861         Pavarde2861      3    0    9    0    6    7    
Vardas2862         Pavarde2862      8    2    7    10   2    3    
Vardas2863         Pavarde2863      9    8    6    0    5    0    
Vardas2864         Pavarde2864      5    6    3    3    10   5    
Vardas2865         Pavarde2865      1    2    2    6    9    8    
Vardas2866         Pavarde2866      7    7    6    3    2    0    
Vardas2867         Pavarde2867      1    1    9    10   7    10   
Vardas2868         Pavarde2868      8    6    3    1    10   8    
Vardas2869         Pavarde2869      9    1    6    4    0    2    
Vardas2870         Pavarde2870      8    1    6    6    4    2    
Vardas2871         Pavarde2871      0    1    1    3    4    8    
Vardas2872         Pavarde2872      1    6    9    7    8    5    
Vardas2873         Pavarde2873      10   1    7    5    0    0    
Vardas2874         Pavarde2874      5    6    6    1    10   5    
Vardas2875         Pavarde2875      5    8    10   2    6    5    
Vardas2876         Pavarde2876      2    2    2    5    10   10   
Vardas2877         Pavarde2877      6    5    1    10   5    2    
Vardas2878         Pavarde2878      1    10   10   0    3    1    
Vardas2879         Pavarde2879      5    9    7    9    4    8    
Vardas2880         Pavarde2880      0    5    10   8    8    5    
Vardas2881         Pavarde2881      10   0    1    4    7    5    
Vardas2882         Pavarde2882      4    6    6    10   3    0    
Vardas2883         Pavarde2883      4    8    6    6    7    8    
Vardas2884         Pavarde2884      0    10   0    1    9    8    
Vardas2885         Pavarde2885      4    4    4    2    1    7    
Vardas2886         Pavarde2886      9    6    8    7    4    9    
Vardas2887         Pavarde2887      9    5    7    5    3    4    
Vardas2888         Pavarde2888      0    8    3    9    10   1    
Vardas2889         Pavarde2889      5    10   6    7    3    5    
Vardas2890         Pavarde2890      7    5    0    1    8    9    
Vardas2891         Pavarde2891      2    4    5    7    6    1    
Vardas2892         Pavarde2892      0    0    1    4    5    4    
Vardas2893         Pavarde2893      9    6    6    6    4    5    
Vardas2894         Pavarde2894      0    8    1    10   6    7    
Vardas2895         Pavarde2895      3    7    10   8    5    5    
Vardas2896         Pavarde2896      4    2    2    7    1    2    
Vardas2897         Pavarde2897      3    2    9    9    8    9    
Vardas2898         Pavarde2898      1    6    3    10   7    4    
Vardas2899         Pavarde2899      4    2    7    7    8    7    
Vardas2900         Pavarde2900      4    0    5    3    10   4    
Vardas2901         Pavarde2901      5    6    5    0    10   6    
Vardas2902         Pavarde2902      4    2    8    0    2    3    
Vardas2903         Pavarde2903      1    7    0    1    7    2    
Vardas2904         Pavarde2904      1    2    6    5    8    10   
Vardas2905         Pavarde2905      5    5    1    10   2    6    
Vardas2906         Pavarde2906      7    0    7    0    5    8    
Vardas2907         Pavarde2907      3    0    2    4    7    3    
Vardas2908         Pavarde2908      3    9    6    8    10   2    
Vardas2909         Pavarde2909      7    2    1    5    5    10   
Vardas2910         Pavarde2910      5    2    2    7    5    4    
Vardas2911         Pavarde2911      6    2    0    10   6    5    
Vardas2912         Pavarde2912      1    9    2    1    7    8    
Vardas2913         Pavarde2913      7    4    0    6    1    3    
Vardas2914         Pavarde2914      6    4    9    9    10   0    
Vardas2915         Pavarde2915      3    2    5    3    7    7    
Vardas2916         Pavarde2916      1    10   10   5    4    6    
Vardas2917         Pavarde2917      3    8    3    3    6    3    
Vardas2918         Pavarde2918      9    9    7    4    1    5    
Vardas2919         Pavarde2919      1    4    3    8    7    0    
Vardas2920         Pavarde2920      2    10   4    1    0    9    
Vardas2921         Pavarde2921      2    9    10   3    5    5    
Vardas2922         Pavarde2922      0    10   1    3    3    6    
Vardas2923         Pavarde2923      0    8    6    1    9    9    
Vardas2924         Pavarde2924      7    1    8    1    0    5    
Vardas2925         Pavarde2925      1    1    5    8    0    5    
Vardas2926         Pavarde2926      6    0    3    1    2    10   
Vardas2927         Pavarde2927      3    5    9    0    0    3    
Vardas2928         Pavarde2928      3    2    4    10   2    9    
Vardas2929         Pavarde2929      4    9    9    3    1    0    
Vardas2930         Pavarde2930      9    1    0    9    10   3    
Vardas2931         Pavarde2931      5    4    6    1    1    8    
Vardas2932         Pavarde2932      4    2    6    10   5    6    
Vardas2933         Pavarde2933      3    6    10   3    6    4    
Vardas2934         Pavarde2934      2    2    5    1    4    5    
Vardas2935         Pavarde2935      4    4    1    9    4    10   
Vardas2936         Pavarde2936      6    8    0    9    10   2    
Vardas2937         Pavarde2937      1    0    10   10   3    2    
Vardas2938         Pavarde2938      4    3    7    2    0    1    
Vardas2939         Pavarde2939      1    6    2    0    9    10   
Vardas2940         Pavarde2940      8    9    6    8    10   9    
Vardas2941         Pavarde2941      8    3    10   6    9    10   
Vardas2942         Pavarde2942      7    2    5    4    8    6    
Vardas2943         Pavarde2943      7    9    5    8    6    3    
Vardas2944         Pavarde2944      7    3    9    5    0    4    
Vardas2945         Pavarde2945      10   5    2    6    7    7    
Vardas2946         Pavarde2946      4    9    0    9    7    7    
Vardas2947         Pavarde2947      1    0    9    9    8    2    
Vardas2948         Pavarde2948      0    6    7    5    8    1    
Vardas2949         Pavarde2949      7    3    0    10   3    7    
Vardas2950         Pavarde2950      10   9    2    1    7    8    
Vardas2951         Pavarde2951      9    9    1    7    0    7    
Vardas2952         Pavarde2952      6    4    10   4    4    7    
Vardas2953         Pavarde2953      7    2    10   9    3    0    
Vardas2954         Pavarde2954      6    7    1    4    5    5    
Vardas2955         Pavarde2955      0    1    0    8    3    9    
Vardas2956         Pavarde2956      6    2    10   1    5    0    
Vardas2957         Pavarde2957      3    9    7    10   4    4    
Vardas2958         Pavarde2958      5    2    10   8    10   6    
Vardas2959         Pavarde2959      5    0    3    4    7    1    
Vardas2960         Pavarde2960      9    5    8    7    2    7    
Vardas2961         Pavarde2961      5    6    7    5    0    4    
Vardas2962         Pavarde2962      6    2    5    8    3    6    
Vardas2963         Pavarde2963      6    7    3    7    2    0    
Vardas2964         Pavarde2964      8    5    3    8    10   3    
Vardas2965         Pavarde2965      6    9    10   2    1    6    
Vardas2966         Pavarde2966      9    8    1    7    7    3    
Vardas2967         Pavarde2967      10   6    3    7    5    6    
Vardas2968         Pavarde2968      0    2    7    9    10   1    
Vardas2969         Pavarde2969      1    6    4    5    5    0    
Vardas2970         Pavarde2970      10   9    3    4    0    10   
Vardas2971         Pavarde2971      4    0    3    0    8    7    
Vardas2972         Pavarde2972      6    9    8    8    2    3    
Vardas2973         Pavarde2973      5    9    4    8    5    8    
Vardas2974         Pavarde2974      8    8    4    5    0    8    
Vardas2975         Pavarde2975      0    10   10   7    10   3    
Vardas2976         Pavarde2976      1    5    3    2    5    4    
Vardas2977         Pavarde2977      5    5    8    4    1    0    
Vardas2978         Pavarde2978      3    2    6    10   6    8    
Vardas2979         Pavarde2979      0    9    2    2    4    7    
Vardas2980         Pavarde2980      10   1    7    8    10   3    
Vardas2981         Pavarde2981      1    7    0    9    1    4    
Vardas2982         Pavarde2982      0    6    10   10   6    2    
Vardas2983         Pavarde2983      10   8    10   4    9    8    
Vardas2984         Pavarde2984      5    9    3    3    2    0    
Vardas2985         Pavarde2985      8    4    7    5    4    9    
Vardas2986         Pavarde2986      9    8    0    1    6    5    
Vardas2987         Pavarde2987      4    3    3    1    0    10   
Vardas2988         Pavarde2988      9    8    10   3    6    1    
Vardas2989         Pavarde2989      1    6    8    5    3    1    
Vardas2990         Pavarde2990      7    10   10   9    2    1    
Vardas2991         Pavarde2991      9    5    1    4    10   8    
Vardas2992         Pavarde2992      5    2    6    2    5    5    
Vardas2993         Pavarde2993      3    5    5    2    0    0    
Vardas2994         Pavarde2994      7    3    7    7    9    6    
Vardas2995         Pavarde2995      8    4    9    1    6    4    
Vardas2996         Pavarde2996      4    8    9    2    0    9    
Vardas2997         Pavarde2997      8    6    2    3    9    8    
Vardas2998         Pavarde2998      4    10   7    7    4    8    
Vardas2999         Pavarde2999      10   6    2    10   1    6    
Vardas3000         Pavarde3000      5    4    6    2    2    10   
Vardas3001         Pavarde3001      9    4    7    4    0    7    
Vardas3002         Pavarde3002      7    1    2    1    10   10   
Vardas3003         Pavarde3003      8    9    6    6    7    9    
Vardas3004         Pavarde3004      3    3    2    5    4    5    
Vardas3005         Pavarde3005      7    5    10   8    7    9    
Vardas3006         Pavarde3006      4    2    5    4    4    3    
Vardas3007         Pavarde3007      2    5    7    7    9    2    
Vardas3008         Pavarde3008      6    2    5    3    2    3    
Vardas3009         Pavarde3009      10   1    6    7    7    4    
Vardas3010         Pavarde3010      5    9    10   2    2    5    
Vardas3011         Pavarde3011      7    9    1    10   6    9    
Vardas3012         Pavarde3012      1    3    10   5    6    1    
Vardas3013         Pavarde3013      5    6    9    0    4    10   
Vardas3014         Pavarde3014      5    0    2    1    10   4    
Vardas3015         Pavarde3015      10   4    10   10   2    3    
Vardas3016         Pavarde3016      10   10   5    5    8    9    
Vardas3017         Pavarde3017      8    9    0    3    9    3    
Vardas3018         Pavarde3018      4    6    6    5    9    1    
Vardas3019         Pavarde3019      7    9    9    3    1    1    
Vardas3020         Pavarde3020      6    10   6    1    7    4    
Vardas3021         Pavarde3021      9    8    9    8    8    3    
Vardas3022         Pavarde3022      4    4    0    7    1    9    
Vardas3023         Pavarde3023      8    3    1    4    5    7    
Vardas3024         Pavarde3024      9    2    4    0    10   6    
Vardas3025         Pavarde3025      10   0    6    6    2    8    
Vardas3026         Pavarde3026      5    10   10   1    8    1    
Vardas3027         Pavarde3027      3    3    8    0    10   7    
Vardas3028         Pavarde3028      6    6    9    2    2    4    
Vardas3029         Pavarde3029      1    6    4    4    0    8    
Vardas3030         Pavarde3030      8    2    5    0    6    7    
Vardas3031         Pavarde3031      3    4    9    10   0    7    
Vardas3032         Pavarde3032      9    3    7    8    4    0    
