Vardas             Pavarde          ND1  ND2  ND3  ND4  Egz. 
Vardas581          Pavarde581       9    0    0    1    2    
Vardas582          Pavarde582       6    3    2    2    6    
Vardas583          Pavarde583       4    5    1    2    9    
Vardas584          Pavarde584       0    10   5    6    6    
Vardas585          Pavarde585       7    10   9    5    0    
Vardas586          Pavarde586       6    5    1    4    6    
Vardas587          Pavarde587       6    2    7    6    7    
Vardas588          Pavarde588       9    7    4    6    2    
Vardas589          Pavarde589       4    4    10   5    10   
Vardas590          Pavarde590       3    2    10   6    6    
Vardas591          Pavarde591       7    7    1    6    7    
Vardas592          Pavarde592       8    7    8    2    7    
Vardas593          Pavarde593       6    5    10   8    6    
Vardas594          Pavarde594       6    5    0    9    7    
Vardas595          Pavarde595       2    3    8    0    4    
Vardas596          Pavarde596       2    0    9    9    3    
Vardas597          Pavarde597       6    4    4    8    0    
Vardas598          Pavarde598       1    3    3    2    8    
Vardas599          Pavarde599       6    9    3    6    10   
Vardas600          Pavarde600       1    3    7    3    4    
Vardas601          Pavarde601       0    1    2    4    9    
Vardas602          Pavarde602       5    0    10   4    10   
Vardas603          Pavarde603       1    5    0    6    10   
Vardas604          Pavarde604       4    4    9    5    6    
Vardas605          Pavarde605       10   7    4    6    0    
Vardas606          Pavarde606       4    0    10   2    4    
Vardas607          Pavarde607       3    7    8    7    2    
Vardas608          Pavarde608       6    7    9    8    0    
Vardas609          Pavarde609       7    8    0    0    0    
Vardas610          Pavarde610       10   2    5    6    10   
Vardas611          Pavarde611       6    6    5    9    3    
Vardas612          Pavarde612       5    6    6    8    3    
Vardas613          Pavarde613       6    1    5    6    5    
Vardas614          Pavarde614       9    0    10   3    6    
Vardas615          Pavarde615       9    10   4    0    2    
Vardas616          Pavarde616       7    3    9    2    8    
Vardas617          Pavarde617       10   4    0    2    4    
Vardas618          Pavarde618       0    7    8    0    3    
Vardas619          Pavarde619       5    10   1    9    8    
Vardas620          Pavarde620       10   0    1    1    0    
Vardas621          Pavarde621       10   9    4    1    8    
Vardas622          Pavarde622       10   3    2    3    8    
Vardas623          Pavarde623       10   1    5    1    2    
Vardas624          Pavarde624       6    5    4    3    4    
Vardas625          Pavarde625       8    10   6    2    6    
Vardas626          Pavarde626       8    10   10   5    9    
Vardas627          Pavarde627       3    7    1    6    2    
Vardas628          Pavarde628       3    4    6    9    3    
Vardas629          Pavarde629       2    8    2    8    7    
Vardas630          Pavarde630       10   6    8    10   1    
Vardas631          Pavarde631       5    6    10   5    7    
Vardas632          Pavarde632       9    10   7    0    4    
Vardas633          Pavarde633       4    0    10   7    7    
Vardas634          Pavarde634       6    5    2    2    0    
Vardas635          Pavarde635       7    2    10   0    10   
Vardas636          Pavarde636       6    1    1    4    0    
Vardas637          Pavarde637       1    1    10   6    7    
Vardas638          Pavarde638       8    7    5    5    4    
Vardas639          Pavarde639       0    7    10   7    1    
Vardas640          Pavarde640       3    3    8    3    5    
Vardas641          Pavarde641       4    10   0    8    1    
Vardas642          Pavarde642       3    0    10   8    2    
Vardas643          Pavarde643       1    6    7    5    0    
Vardas644          Pavarde644       8    5    6    1    2    
Vardas645          Pavarde645       9    3    5    0    1    
Vardas646          Pavarde646       6    8    5    3    1    
Vardas647          Pavarde647       4    1    9    1    9    
Vardas648          Pavarde648       2    1    6    3    0    
Vardas649          Pavarde649       6    5    8    10   1    
Vardas650          Pavarde650       6    2    7    9    5    
Vardas651          Pavarde651       3    7    7    10   4    
Vardas652          Pavarde652       6    5    6    9    5    
Vardas653          Pavarde653       1    7    8    2    5    
Vardas654          Pavarde654       0    2    5    9    0    
Vardas655          Pavarde655       4    3    1    0    9    
Vardas656          Pavarde656       6    7    2    9    7    
Vardas657          Pavarde657       10   10   5    1    8    
Vardas658          Pavarde658       5    5    0    8    0    
Vardas659          Pavarde659       6    6    2    1    3    
Vardas660          Pavarde660       9    7    10   10   4    
Vardas661          Pavarde661       5    4    2    2    5    
Vardas662          Pavarde662       8    5    0    5    6    
Vardas663          Pavarde663       4    4    5    2    7    
Vardas664          Pavarde664       5    3    1    5    8    
Vardas665          Pavarde665       8    2    7    2    6    
Vardas666          Pavarde666       8    10   2    8    0    
Vardas667          Pavarde667       3    10   10   8    3    
Vardas668          Pavarde668       5    10   3    10   0    
Vardas669          Pavarde669       10   10   0    8    0    
Vardas670          Pavarde670       3    4    2    8    6    
Vardas671          Pavarde671       1    4    5    5    2    
Vardas672          Pavarde672       9    1    3    3    3    
Vardas673          Pavarde673       4    4    9    10   10   
Vardas674          Pavarde674       3    6    7    10   5    
Vardas675          Pavarde675       0    5    6    5    2    
Vardas676          Pavarde676       5    9    2    3    4    
Vardas677          Pavarde677       6    9    10   9    5    
Vardas678          Pavarde678       8    9    1    1    8    
Vardas679          Pavarde679       3    10   5    9    7    
Vardas680          Pavarde680       7    1    0    6    6    
Vardas681          Pavarde681       1    7    4    0    5    
Vardas682          Pavarde682       10   1    5    10   9    
Vardas683          Pavarde683       0    6    6    3    7    
Vardas684          Pavarde684       9    1    9    9    6    
Vardas685          Pavarde685       10   4    9    3    1    
Vardas686          Pavarde686       2    5    1    3    6    
Vardas687          Pavarde687       9    0    5    1    7    
Vardas688          Pavarde688       9    7    2    1    9    
Vardas689          Pavarde689       0    7    3    1    9    
Vardas690          Pavarde690       8    0    1    4    8    
Vardas691          Pavarde691       6    1    6    9    5    
Vardas692          Pavarde692       10   6    0    3    10   
Vardas693          Pavarde693       7    7    2    1    0    
Vardas694          Pavarde694       1    3    9    4    9    
Vardas695          Pavarde695       2    7    6    2    4    
Vardas696          Pavarde696       8    5    1    5    10   
Vardas697          Pavarde697       9    9    3    5    6    
Vardas698          Pavarde698       3    8    7    5    6    
Vardas699          Pavarde699       7    1    6    9    0    
Vardas700          Pavarde700       7    1    5    10   5    
Vardas701          Pavarde701       1    2    10   0    7    
Vardas702          Pavarde702       9    1    10   0    10   
Vardas703          Pavarde703       7    2    1    6    4    
Vardas704          Pavarde704       8    3    10   7    1    
Vardas705          Pavarde705       5    1    7    5    6    
Vardas706          Pavarde706       3    9    0    4    1    
Vardas707          Pavarde707       10   6    8    7    0    
Vardas708          Pavarde708       4    1    8    8    8    
Vardas709          Pavarde709       1    10   10   3    3    
Vardas710          Pavarde710       1    8    9    1    6    
Vardas711          Pavarde711       7    3    6    9    6    
Vardas712          Pavarde712       3    3    3    3    4    
Vardas713          Pavarde713       7    8    0    8    1    
Vardas714          Pavarde714       2    9    0    6    10   
Vardas715          Pavarde715       9    9    7    0    0    
Vardas716          Pavarde716       3    3    7    0    1    
Vardas717          Pavarde717       4    2    5    9    10   
Vardas718          Pavarde718       8    5    5    10   8    
Vardas719          Pavarde719       9    0    6    9    2    
Vardas720          Pavarde720       4    5    0    5    4    
Vardas721          Pavarde721       3    2    8    5    9    
Vardas722          Pavarde722       9    1    9    7    2    
Vardas723          Pavarde723       10   5    0    2    5    
Vardas724          Pavarde724       1    2    5    10   7    
Vardas725          Pavarde725       7    7    8    5    8    
Vardas726          Pavarde726       8    4    0    0    8    
Vardas727          Pavarde727       10   3    3    3    0    
Vardas728          Pavarde728       2    9    10   9    1    
Vardas729          Pavarde729       8    5    1    6    1    
Vardas730          Pavarde730       4    4    0    5    7    
Vardas731          Pavarde731       6    9    10   5    6    
Vardas732          Pavarde732       2    4    8    5    3    
Vardas733          Pavarde733       7    2    2    1    4    
Vardas734          Pavarde734       8    9    7    2    8    
Vardas735          Pavarde735       4    10   7    0    3    
Vardas736          Pavarde736       8    8    8    6    8    
Vardas737          Pavarde737       2    8    8    7    3    
Vardas738          Pavarde738       0    7    9    3    9    
Vardas739          Pavarde739       2    10   0    8    3    
Vardas740          Pavarde740       9    10   10   9    8    
Vardas741          Pavarde741       9    5    3    9    1    
Vardas742          Pavarde742       5    7    5    5    9    
Vardas743          Pavarde743       8    9    0    2    4    
Vardas744          Pavarde744       5    8    5    4    1    
Vardas745          Pavarde745       1    10   6    7    2    
Vardas746          Pavarde746       9    3    1    2    1    
Vardas747          Pavarde747       10   1    7    0    9    
Vardas748          Pavarde748       6    6    0    2    2    
Vardas749          Pavarde749       10   3    0    6    4    
Vardas750          Pavarde750       10   9    1    3    2    
Vardas751          Pavarde751       10   7    3    8    1    
Vardas752          Pavarde752       6    7    4    10   1    
Vardas753          Pavarde753       10   4    7    10   8    
Vardas754          Pavarde754       6    4    1    2    9    
Vardas755          Pavarde755       1    0    9    2    1    
Vardas756          Pavarde756       3    8    2    8    3    
Vardas757          Pavarde757       2    1    8    7    8    
Vardas758          Pavarde758       10   10   5    5    9    
Vardas759          Pavarde759       3    8    9    6    0    
Vardas760          Pavarde760       10   7    6    1    3    
Vardas761          Pavarde761       10   0    1    4    5    
Vardas762          Pavarde762       1    3    10   10   7    
Vardas763          Pavarde763       4    8    1    4    0    
Vardas764          Pavarde764       9    2    9    4    6    
Vardas765          Pavarde765       8    9    1    2    3    
Vardas766          Pavarde766       6    6    5    0    8    
Vardas767          Pavarde767       3    1    5    3    6    
Vardas768          Pavarde768       5    0    8    9    9    
Vardas769          Pavarde769       8    1    4    4    7    
Vardas770          Pavarde770       5    10   4    4    9    
Vardas771          Pavarde771       4    0    2    1    3    
Vardas772          Pavarde772       7    3    10   2    5    
Vardas773          Pavarde773       8    6    2    9    0    
Vardas774          Pavarde774       5    10   10   3    4    
Vardas775          Pavarde775       1    0    4    0    0    
Vardas776          Pavarde776       5    10   3    8    7    
Vardas777          Pavarde777       3    10   4    2    0    
Vardas778          Pavarde778       2    7    6    6    0    
Vardas779          Pavarde779       3    8    7    2    9    
Vardas780          Pavarde780       7    8    1    3    1    
Vardas781          Pavarde781       8    4    6    2    2    
Vardas782          Pavarde782       8    8    7    0    10   
Vardas783          Pavarde783       6    7    9    1    2    
Vardas784          Pavarde784       3    6    7    0    2    
Vardas785          Pavarde785       6    2    6    1    4    
Vardas786          Pavarde786       9    4    8    5    3    
Vardas787          Pavarde787       5    0    4    7    3    
Vardas788          Pavarde788       6    10   5    8    6    
Vardas789          Pavarde789       4    1    7    9    10   
Vardas790          Pavarde790       1    3    0    6    6    
Vardas791          Pavarde791       0    2    7    7    6    
Vardas792          Pavarde792       6    1    5    1    7    
Vardas793          Pavarde793       7    7    5    2    5    
Vardas794          Pavarde794       4    6    10   1    4    
Vardas795          Pavarde795       9    1    7    6    9    
Vardas796          Pavarde796       7    7    8    5    7    
Vardas797          Pavarde797       6    2    4    1    6    
Vardas798          Pavarde798       3    1    3    8    8    
Vardas799          Pavarde799       0    10   6    0    10   
Vardas800          Pavarde800       7    6    10   6    6    
Vardas801          Pavarde801       0    3    6    1    7    
Vardas802          Pavarde802       5    5    8    3    5    
Vardas803          Pavarde803       10   2    8    2    9    
Vardas804          Pavarde804       7    1    10   3    4    
Vardas805          Pavarde805       4    6    1    2    1    
Vardas806          Pavarde806       4    6    2    0    2    
Vardas807          Pavarde807       4    8    9    10   10   
Vardas808          Pavarde808       7    4    6    4    9    
Vardas809          Pavarde809       5    5    3    1    3    
Vardas810          Pavarde810       7    0    7    6    4    
Vardas811          Pavarde811       0    3    9    3    4    
Vardas812          Pavarde812       10   10   5    2    0    
Vardas813          Pavarde813       9    7    4    8    1    
Vardas814          Pavarde814       1    7    7    1    7    
Vardas815          Pavarde815       6    3    9    0    1    
Vardas816          Pavarde816       4    8    1    6    9    
Vardas817          Pavarde817       1    0    3    0    9    
Vardas818          Pavarde818       2    10   1    5    9    
Vardas819          Pavarde819       6    1    0    5    5    
Vardas820          Pavarde820       1    3    10   1    4    
Vardas821          Pavarde821       4    1    2    4    7    
Vardas822          Pavarde822       2    8    10   8    0    
Vardas823          Pavarde823       0    4    3    2    0    
Vardas824          Pavarde824       3    8    6    7    6    
Vardas825          Pavarde825       9    1    2    10   0    
Vardas826          Pavarde826       8    8    2    5    9    
Vardas827          Pavarde827       3    0    0    4    1    
Vardas828          Pavarde828       9    9    9    6    8    
Vardas829          Pavarde829       0    6    0    4    9    
Vardas830          Pavarde830       2    2    7    6    4    
Vardas831          Pavarde831       4    2    8    3    10   
Vardas832          Pavarde832       5    0    8    4    8    
Vardas833          Pavarde833       8    10   7    0    8    
Vardas834          Pavarde834       6    1    7    10   6    
Vardas835          Pavarde835       1    0    9    1    10   
Vardas836          Pavarde836       8    0    0    6    9    
Vardas837          Pavarde837       2    5    2    2    10   
Vardas838          Pavarde838       8    0    6    1    0    
Vardas839          Pavarde839       1    6    6    3    1    
Vardas840          Pavarde840       9    10   8    2    10   
Vardas841          Pavarde841       6    10   5    1    7    
Vardas842          Pavarde842       5    5    1    6    6    
Vardas843          Pavarde843       0    3    10   6    10   
Vardas844          Pavarde844       8    4    3    6    4    
Vardas845          Pavarde845       0    3    3    2    2    
Vardas846          Pavarde846       5    8    10   9    9    
Vardas847          Pavarde847       2    10   9    5    2    
Vardas848          Pavarde848       10   8    9    10   5    
Vardas849          Pavarde849       3    5    4    2    4    
Vardas850          Pavarde850       3    2    0    3    9    
Vardas851          Pavarde851       7    8    10   2    6    
Vardas852          Pavarde852       8    8    5    5    9    
Vardas853          Pavarde853       0    7    10   0    5    
Vardas854          Pavarde854       3    4    3    2    4    
Vardas855          Pavarde855       9    6    8    6    4    
Vardas856          Pavarde856       3    1    1    0    3    
Vardas857          Pavarde857       3    0    1    2    3    
Vardas858          Pavarde858       0    10   3    10   5    
Vardas859          Pavarde859       7    7    3    5    0    
Vardas860          Pavarde860       6    10   7    5    4    
Vardas861          Pavarde861       6    1    7    8    7    
Vardas862          Pavarde862       0    8    8    0    0    
Vardas863          Pavarde863       1    1    8    5    1    
Vardas864          Pavarde864       8    6    10   4    8    
Vardas865          Pavarde865       3    10   8    8    8    
Vardas866          Pavarde866       0    6    10   9    2    
Vardas867          Pavarde867       5    1    5    0    5    
Vardas868          Pavarde868       8    2    2    3    4    
Vardas869          Pavarde869       4    3    2    0    10   
Vardas870          Pavarde870       2    5    1    8    1    
Vardas871          Pavarde871       7    4    10   1    2    
Vardas872          Pavarde872       4    6    4    10   9    
Vardas873          Pavarde873       8    10   8    10   2    
Vardas874          Pavarde874       7    10   4    8    0    
Vardas875          Pavarde875       6    8    5    8    9    
Vardas876          Pavarde876       8    6    9    2    4    
Vardas877          Pavarde877       7    2    6    5    8    
Vardas878          Pavarde878       10   5    3    3    8    
Vardas879          Pavarde879       0    10   8    3    3    
Vardas880          Pavarde880       9    3    8    1    3    
Vardas881          Pavarde881       8    8    4    10   8    
Vardas882          Pavarde882       4    0    8    2    1    
Vardas883          Pavarde883       1    6    8    2    1    
Vardas884          Pavarde884       3    5    3    10   10   
Vardas885          Pavarde885       6    10   4    0    1    
Vardas886          Pavarde886       10   4    4    8    6    
Vardas887          Pavarde887       6    6    10   1    1    
Vardas888          Pavarde888       6    2    5    2    1    
Vardas889          Pavarde889       3    0    2    10   4    
Vardas890          Pavarde890       5    8    5    5    10   
Vardas891          Pavarde891       10   2    3    0    8    
Vardas892          Pavarde892       10   9    1    10   9    
Vardas893          Pavarde893       8    7    2    1    1    
Vardas894          Pavarde894       7    6    9    8    9    
Vardas895          Pavarde895       10   7    7    1    1    
Vardas896          Pavarde896       6    4    8    3    6    
Vardas897          Pavarde897       7    5    7    6    5    
Vardas898          Pavarde898       2    7    6    0    9    
Vardas899          Pavarde899       2    2    2    6    5    
Vardas900          Pavarde900       1    7    8    1    7    
Vardas901          Pavarde901       8    5    10   4    1    
Vardas902          Pavarde902       3    9    2    5    9    
Vardas903          Pavarde903       7    0    9    2    8    
Vardas904          Pavarde904       3    8    4    7    1    
Vardas905          Pavarde905       2    2    1    7    0    
Vardas906          Pavarde906       9    5    7    10   10   
Vardas907          Pavarde907       4    4    4    8    7    
Vardas908          Pavarde908       3    2    7    0    9    
Vardas909          Pavarde909       9    3    2    8    5    
Vardas910          Pavarde910       5    0    10   4    7    
Vardas911          Pavarde911       3    7    8    1    8    
Vardas912          Pavarde912       2    8    9    4    2    
Vardas913          Pavarde913       6    3    10   2    5    
Vardas914          Pavarde914       6    7    7    9    7    
Vardas915          Pavarde915       4    3    0    10   8    
Vardas916          Pavarde916       7    0    2    1    0    
Vardas917          Pavarde917       3    3    0    4    5    
Vardas918          Pavarde918       0    10   6    4    5    
Vardas919          Pavarde919       3    0    1    9    1    
Vardas920          Pavarde920       6    0    8    4    10   
Vardas921          Pavarde921       1    4    6    2    4    
Vardas922          Pavarde922       4    9    7    2    5    
Vardas923          Pavarde923       9    3    5    1    5    
Vardas924          Pavarde924       8    2    7    8    10   
Vardas925          Pavarde925       2    9    3    7    1    
Vardas926          Pavarde926       4    3    7    0    0    
Vardas927          Pavarde927       3    2    6    7    5    
Vardas928          Pavarde928       2    8    5    1    6    
Vardas929          Pavarde929       7    1    7    3    1    
Vardas930          Pavarde930       3    10   0    5    3    
Vardas931          Pavarde931       9    10   4    8    6    
Vardas932          Pavarde932       6    4    7    1    5    
Vardas933          Pavarde933       8    10   10   2    6    
Vardas934          Pavarde934       3    5    1    0    7    
Vardas935          Pavarde935       1    8    10   6    5    
Vardas936          Pavarde936       2    7    1    9    9    
Vardas937          Pavarde937       5    3    5    2    8    
Vardas938          Pavarde938       9    10   5    7    4    
Vardas939          Pavarde939       7    2    9    9    7    
Vardas940          Pavarde940       5    1    0    5    1    
Vardas941          Pavarde941       6    2    2    3    0    
Vardas942          Pavarde942       5    7    7    8    6    
Vardas943          Pavarde943       6    9    0    5    1    
Vardas944          Pavarde944       5    0    6    5    4    
Vardas945          Pavarde945       6    7    5    1    9    
Vardas946          Pavarde946       9    8    4    9    3    
Vardas947          Pavarde947       7    10   9    4    0    
Vardas948          Pavarde948       6    8    1    0    1    
Vardas949          Pavarde949       2    6    6    6    8    
Vardas950          Pavarde950       8    10   4    3    5    
Vardas951          Pavarde951       2    9    1    9    7    
Vardas952          Pavarde952       6    1    1    5    0    
Vardas953          Pavarde953       4    2    10   9    6    
Vardas954          Pavarde954       10   10   1    7    5    
Vardas955          Pavarde955       8    2    2    8    0    
Vardas956          Pavarde956       1    0    1    4    1    
Vardas957          Pavarde957       9    5    0    10   1    
Vardas958          Pavarde958       0    8    8    7    6    
Vardas959          Pavarde959       3    1    0    2    6    
Vardas960          Pavarde960       10   4    2    4    1    
Vardas961          Pavarde961       10   8    8    6    1    
Vardas962          Pavarde962       0    4    0    10   9    
Vardas963          Pavarde963       5    5    0    9    8    
Vardas964          Pavarde964       7    5    2    7    6    
Vardas965          Pavarde965       8    9    4    7    4    
Vardas966          Pavarde966       2    3    7    6    5    
Vardas967          Pavarde967       8    4    6    8    1    
Vardas968          Pavarde968       2    3    3    7    7    
Vardas969          Pavarde969       1    6    7    7    8    
Vardas970          Pavarde970       2    5    2    3    0    
Vardas971          Pavarde971       0    3    2    7    0    
Vardas972          Pavarde972       6    4    1    4    2    
Vardas973          Pavarde973       4    5    4    6    3    
Vardas974          Pavarde974       1    6    9    6    2    
Vardas975          Pavarde975       2    9    2    5    0    
Vardas976          Pavarde976       9    10   6    8    9    
Vardas977          Pavarde977       7    10   5    10   9    
Vardas978          Pavarde978       3    3    1    3    4    
Vardas979          Pavarde979       4    3    4    6    8    
Vardas980          Pavarde980       5    6    3    4    7    
Vardas981          Pavarde981       10   8    2    8    4    
Vardas982          Pavarde982       8    7    3    5    2    
Vardas983          Pavarde983       6    8    3    8    8    
Vardas984          Pavarde984       0    9    2    7    4    
Vardas985          Pavarde985       0    9    4    3    3    
Vardas986          Pavarde986       0    9    0    4    8    
Vardas987          Pavarde987       1    7    6    9    9    
Vardas988          Pavarde988       9    6    3    7    3    
Vardas989          Pavarde989       0    9    6    5    9    
Vardas990          Pavarde990       6    6    9    2    3    
Vardas991          Pavarde991       0    9    6    8    0    
Vardas992          Pavarde992       0    1    9    1    0    
Vardas993          Pavarde993       7    8    9    2    8    
Vardas994          Pavarde994       2    3    4    4    10   
Vardas995          Pavarde995       4    5    1    4    8    
Vardas996          Pavarde996       6    3    5    1    9    
Vardas997          Pavarde997       9    8    5    9    3    
Vardas998          Pavarde998       3    6    2    0    0    
Vardas999          Pavarde999       8    6    0    3    0    
Vardas1000         Pavarde1000      3    3    8    5    8    
